Strain	Day	Replicate	Light_level	Pyruvate_conc	avg_cells_mm2	cells_mL
9806	0	1	330	1	1	10000
9806	0	2	330	1	1	10000
9806	0	3	330	1	1	10000
9806	0	1	330	0	1	10000
9806	0	2	330	0	1	10000
9806	0	3	330	0	1	10000
7806	0	1	330	1	1	10000
7806	0	2	330	1	1	10000
7806	0	3	330	1	1	10000
7806	0	1	330	0	1	10000
7806	0	2	330	0	1	10000
7806	0	3	330	0	1	10000
9806	0	1	600	1	1	10000
9806	0	2	600	1	1	10000
9806	0	3	600	1	1	10000
9806	0	1	600	0	1	10000
9806	0	2	600	0	1	10000
9806	0	3	600	0	1	10000
7806	0	1	600	1	1	10000
7806	0	2	600	1	1	10000
7806	0	3	600	1	1	10000
7806	0	1	600	0	1	10000
7806	0	2	600	0	1	10000
7806	0	3	600	0	1	10000
9806	1	1	330	1	1	10000
9806	1	2	330	1	0.25	2500
9806	1	3	330	1	0.25	2500
9806	1	1	330	0	2	20000
9806	1	2	330	0	0.25	2500
9806	1	3	330	0	0.25	2500
7806	1	1	330	1	1.5	15000
7806	1	2	330	1	0.75	7500
7806	1	3	330	1	0.25	2500
7806	1	1	330	0	1.5	15000
7806	1	2	330	0	1.25	12500
7806	1	3	330	0	1	10000
9806	1	1	600	1	0.25	2500
9806	1	2	600	1	0	0
9806	1	3	600	1	0.25	2500
9806	1	1	600	0	0.5	5000
9806	1	2	600	0	0.5	5000
9806	1	3	600	0	0.5	5000
7806	1	1	600	1	1.5	15000
7806	1	2	600	1	1	10000
7806	1	3	600	1	0.75	7500
7806	1	1	600	0	0.5	5000
7806	1	2	600	0	1.25	12500
7806	1	3	600	0	0.25	2500
9806	3	1	330	1	0.25	2500
9806	3	2	330	1	1.25	12500
9806	3	3	330	1	0.5	5000
9806	3	1	330	0	1	10000
9806	3	2	330	0	0.5	5000
9806	3	3	330	0	0	0
7806	3	1	330	1	1.5	15000
7806	3	2	330	1	0.5	5000
7806	3	3	330	1	1.25	12500
7806	3	1	330	0	1.25	12500
7806	3	2	330	0	1.5	15000
7806	3	3	330	0	0.75	7500
9806	3	1	600	1	0.75	7500
9806	3	2	600	1	0.5	5000
9806	3	3	600	1	0.5	5000
9806	3	1	600	0	0.75	7500
9806	3	2	600	0	0.25	2500
9806	3	3	600	0	0.75	7500
7806	3	1	600	1	0.75	7500
7806	3	2	600	1	2.5	25000
7806	3	3	600	1	1.75	17500
7806	3	1	600	0	2	20000
7806	3	2	600	0	0.5	5000
7806	3	3	600	0	1.5	15000
9806	5	1	330	1	2.75	27500
9806	5	2	330	1	2.25	22500
9806	5	3	330	1	1.5	15000
9806	5	1	330	0	2.75	27500
9806	5	2	330	0	1	10000
9806	5	3	330	0	1.75	17500
7806	5	1	330	1	3.5	35000
7806	5	2	330	1	2.5	25000
7806	5	3	330	1	2.25	22500
7806	5	1	330	0	2.5	25000
7806	5	2	330	0	4.25	42500
7806	5	3	330	0	4.25	42500
9806	5	1	600	1	1.5	15000
9806	5	2	600	1	2.75	27500
9806	5	3	600	1	1.75	17500
9806	5	1	600	0	1.25	12500
9806	5	2	600	0	2.25	22500
9806	5	3	600	0	1.75	17500
7806	5	1	600	1	4.25	42500
7806	5	2	600	1	3.5	35000
7806	5	3	600	1	3.25	32500
7806	5	1	600	0	4.5	45000
7806	5	2	600	0	3.5	35000
7806	5	3	600	0	2.75	27500
9806	7	1	330	1	16.5	165000
9806	7	2	330	1	18.75	187500
9806	7	3	330	1	11.25	112500
9806	7	1	330	0	8.5	85000
9806	7	2	330	0	8	80000
9806	7	3	330	0	15.75	157500
7806	7	1	330	1	20.25	202500
7806	7	2	330	1	15.75	157500
7806	7	3	330	1	18.5	185000
7806	7	1	330	0	9.25	92500
7806	7	2	330	0	17.25	172500
7806	7	3	330	0	10.5	105000
9806	7	1	600	1	13.75	137500
9806	7	2	600	1	16	160000
9806	7	3	600	1	9.25	92500
9806	7	1	600	0	12.75	127500
9806	7	2	600	0	11.25	112500
9806	7	3	600	0	14.5	145000
7806	7	1	600	1	19	190000
7806	7	2	600	1	17	170000
7806	7	3	600	1	15	150000
7806	7	1	600	0	13.75	137500
7806	7	2	600	0	13	130000
7806	7	3	600	0	11.75	117500
9806	9	1	330	1	52.5	525000
9806	9	2	330	1	47.25	472500
9806	9	3	330	1	43	430000
9806	9	1	330	0	27.75	277500
9806	9	2	330	0	35	350000
9806	9	3	330	0	44.75	447500
7806	9	1	330	1	63.75	637500
7806	9	2	330	1	47.75	477500
7806	9	3	330	1	43.25	432500
7806	9	1	330	0	38	380000
7806	9	2	330	0	46.25	462500
7806	9	3	330	0	32.75	327500
9806	9	1	600	1	59.75	597500
9806	9	2	600	1	72.75	727500
9806	9	3	600	1	41.5	415000
9806	9	1	600	0	54.75	547500
9806	9	2	600	0	34.25	342500
9806	9	3	600	0	51.25	512500
7806	9	1	600	1	35	350000
7806	9	2	600	1	48.75	487500
7806	9	3	600	1	57.5	575000
7806	9	1	600	0	40.25	402500
7806	9	2	600	0	43.75	437500
7806	9	3	600	0	41.25	412500
9806	11	1	330	1	168	1680000
9806	11	2	330	1	162.75	1627500
9806	11	3	330	1	205.75	2057500
9806	11	1	330	0	166	1660000
9806	11	2	330	0	131.75	1317500
9806	11	3	330	0	181.75	1817500
7806	11	1	330	1	176	1760000
7806	11	2	330	1	152.25	1522500
7806	11	3	330	1	157.75	1577500
7806	11	1	330	0	122.25	1222500
7806	11	2	330	0	134.75	1347500
7806	11	3	330	0	140.5	1405000
9806	11	1	600	1	167	1670000
9806	11	2	600	1	184.5	1845000
9806	11	3	600	1	157.5	1575000
9806	11	1	600	0	162.75	1627500
9806	11	2	600	0	157	1570000
9806	11	3	600	0	163.75	1637500
7806	11	1	600	1	140.75	1407500
7806	11	2	600	1	161	1610000
7806	11	3	600	1	148	1480000
7806	11	1	600	0	125.75	1257500
7806	11	2	600	0	146.4	1464000
7806	11	3	600	0	143	1430000
9806	13	1	330	1	191	1910000
9806	13	2	330	1	177.25	1772500
9806	13	3	330	1	210	2100000
9806	13	1	330	0	184.25	1842500
9806	13	2	330	0	186.25	1862500
9806	13	3	330	0	229.25	2292500
7806	13	1	330	1	255.75	2557500
7806	13	2	330	1	196	1960000
7806	13	3	330	1	212	2120000
7806	13	1	330	0	181.25	1812500
7806	13	2	330	0	170.75	1707500
7806	13	3	330	0	195.5	1955000
9806	13	1	600	1	185.25	1852500
9806	13	2	600	1	174.75	1747500
9806	13	3	600	1	188.25	1882500
9806	13	1	600	0	178.75	1787500
9806	13	2	600	0	186.75	1867500
9806	13	3	600	0	196	1960000
7806	13	1	600	1	202.75	2027500
7806	13	2	600	1	232	2320000
7806	13	3	600	1	182	1820000
7806	13	1	600	0	195.75	1957500
7806	13	2	600	0	175	1750000
7806	13	3	600	0	176.75	1767500
7806 mcyB knockout	0	1	330	0	1	10000
7806 mcyB knockout	0	2	330	0	1.5	15000
7806 mcyB knockout	0	3	330	0	1	10000
7806 mcyB knockout	0	1	330	1	1.25	12500
7806 mcyB knockout	0	2	330	1	0.75	7500
7806 mcyB knockout	0	3	330	1	1.5	15000
9701	0	1	330	0	1.25	12500
9701	0	2	330	0	1	10000
9701	0	3	330	0	2	20000
9701	0	1	330	1	1	10000
9701	0	2	330	1	0.5	5000
9701	0	3	330	1	1.5	15000
7005	0	1	330	0	1.25	12500
7005	0	2	330	0	1.25	12500
7005	0	3	330	0	1	10000
7005	0	1	330	1	0.5	5000
7005	0	2	330	1	0.75	7500
7005	0	3	330	1	1.5	15000
NIES 843	0	1	330	0	2	20000
NIES 843	0	2	330	0	0.75	7500
NIES 843	0	3	330	0	1.25	12500
NIES 843	0	1	330	1	1.5	15000
NIES 843	0	2	330	1	2	20000
NIES 843	0	3	330	1	0.75	7500
7941	0	1	330	0	2	20000
7941	0	2	330	0	2.75	27500
7941	0	3	330	0	2	20000
7941	0	1	330	1	1	10000
7941	0	2	330	1	2.5	25000
7941	0	3	330	1	2.25	22500
7806 mcyB knockout	1	1	330	0	0.75	7500
7806 mcyB knockout	1	2	330	0	2.5	25000
7806 mcyB knockout	1	3	330	0	1.5	15000
7806 mcyB knockout	1	1	330	1	1.75	17500
7806 mcyB knockout	1	2	330	1	1.5	15000
7806 mcyB knockout	1	3	330	1	0.75	7500
9701	1	1	330	0	1	10000
9701	1	2	330	0	1.25	12500
9701	1	3	330	0	2.5	25000
9701	1	1	330	1	1	10000
9701	1	2	330	1	1.75	17500
9701	1	3	330	1	1.25	12500
7005	1	1	330	0	0.75	7500
7005	1	2	330	0	2.25	22500
7005	1	3	330	0	2	20000
7005	1	1	330	1	2.25	22500
7005	1	2	330	1	1.75	17500
7005	1	3	330	1	2.75	27500
NIES 843	1	1	330	0	1.25	12500
NIES 843	1	2	330	0	2	20000
NIES 843	1	3	330	0	1.75	17500
NIES 843	1	1	330	1	1.75	17500
NIES 843	1	2	330	1	1.5	15000
NIES 843	1	3	330	1	1.25	12500
7941	1	1	330	0	3.5	35000
7941	1	2	330	0	1.5	15000
7941	1	3	330	0	2	20000
7941	1	1	330	1	1.75	17500
7941	1	2	330	1	3	30000
7941	1	3	330	1	1.5	15000
7806 mcyB knockout	3	1	330	0	2.25	22500
7806 mcyB knockout	3	2	330	0	1.5	15000
7806 mcyB knockout	3	3	330	0	2.5	25000
7806 mcyB knockout	3	1	330	1	4	40000
7806 mcyB knockout	3	2	330	1	3.25	32500
7806 mcyB knockout	3	3	330	1	2.5	25000
9701	3	1	330	0	3.25	32500
9701	3	2	330	0	3.25	32500
9701	3	3	330	0	2.25	22500
9701	3	1	330	1	4	40000
9701	3	2	330	1	3.75	37500
9701	3	3	330	1	3.6	36000
