Filename	Strain	Pyruvate_conc	Rep	Light_level	Day	Peak_Integral
200803_HL_7806_C1_Day0_0A	7806	0	1	600	0	12060221.13
200803_HL_7806_C1_Day0_0B	7806	0	1	600	0	11789358.03
200803_HL_7806_C1_Day0_0C	7806	0	1	600	0	11841639.8
200803_HL_7806_C1_Day0_500A	7806	0	1	600	0	18344238.37
200803_HL_7806_C1_Day0_500B	7806	0	1	600	0	18945573.46
200803_HL_7806_C1_Day0_500C	7806	0	1	600	0	18956658.79
200803_HL_7806_C1_Day0_750A	7806	0	1	600	0	24057504.04
200803_HL_7806_C1_Day0_750B	7806	0	1	600	0	23645367.5
200803_HL_7806_C1_Day0_750C	7806	0	1	600	0	23534938.04
200803_HL_7806_C2_Day0_0A	7806	0	2	600	0	11752829.33
200803_HL_7806_C2_Day0_0B	7806	0	2	600	0	10807642.53
200803_HL_7806_C2_Day0_0C	7806	0	2	600	0	10759820.92
200803_HL_7806_C2_Day0_500A	7806	0	2	600	0	17578113.53
200803_HL_7806_C2_Day0_500B	7806	0	2	600	0	17363589.98
200803_HL_7806_C2_Day0_500C	7806	0	2	600	0	17362652.08
200803_HL_7806_C2_Day0_750A	7806	0	2	600	0	22154337.1
200803_HL_7806_C2_Day0_750B	7806	0	2	600	0	21865499.58
200803_HL_7806_C2_Day0_750C	7806	0	2	600	0	21776164.28
200803_HL_7806_C3_Day0_0A	7806	0	3	600	0	10836149.38
200803_HL_7806_C3_Day0_0B	7806	0	3	600	0	10623122.18
200803_HL_7806_C3_Day0_0C	7806	0	3	600	0	10617234
200803_HL_7806_C3_Day0_500A	7806	0	3	600	0	17726648.55
200803_HL_7806_C3_Day0_500B	7806	0	3	600	0	17541785.04
200803_HL_7806_C3_Day0_500C	7806	0	3	600	0	17446325.71
200803_HL_7806_C3_Day0_750A	7806	0	3	600	0	22405887.29
200803_HL_7806_C3_Day0_750B	7806	0	3	600	0	22075701.54
200803_HL_7806_C3_Day0_750C	7806	0	3	600	0	22014481.58
200803_HL_9806_C1_Day0_0A	9806	0	1	600	0	10776422.08
200803_HL_9806_C1_Day0_0B	9806	0	1	600	0	10578257.78
200803_HL_9806_C1_Day0_0C	9806	0	1	600	0	10569501.79
200803_HL_9806_C1_Day0_500A	9806	0	1	600	0	17792654.9
200803_HL_9806_C1_Day0_500B	9806	0	1	600	0	17625268.75
200803_HL_9806_C1_Day0_500C	9806	0	1	600	0	17603204.8
200803_HL_9806_C1_Day0_750A	9806	0	1	600	0	22277447.88
200803_HL_9806_C1_Day0_750B	9806	0	1	600	0	22039556.83
200803_HL_9806_C1_Day0_750C	9806	0	1	600	0	22016544.75
200803_HL_9806_C2_Day0_0A	9806	0	2	600	0	10025598.7
200803_HL_9806_C2_Day0_0B	9806	0	2	600	0	10337663.83
200803_HL_9806_C2_Day0_0C	9806	0	2	600	0	9883928.875
200803_HL_9806_C2_Day0_500A	9806	0	2	600	0	17749332.92
200803_HL_9806_C2_Day0_500B	9806	0	2	600	0	18109266.83
200803_HL_9806_C2_Day0_500C	9806	0	2	600	0	18105258.45
200803_HL_9806_C2_Day0_750A	9806	0	2	600	0	22220360.17
200803_HL_9806_C2_Day0_750B	9806	0	2	600	0	22164188.5
200803_HL_9806_C2_Day0_750C	9806	0	2	600	0	22125109.08
200803_HL_9806_C3_Day0_0A	9806	0	3	600	0	13197985.08
200803_HL_9806_C3_Day0_0B	9806	0	3	600	0	13037666.3
200803_HL_9806_C3_Day0_0C	9806	0	3	600	0	13055645.04
200803_HL_9806_C3_Day0_500A	9806	0	3	600	0	20134622.67
200803_HL_9806_C3_Day0_500B	9806	0	3	600	0	20163503.58
200803_HL_9806_C3_Day0_500C	9806	0	3	600	0	20144617.13
200803_HL_9806_C3_Day0_750A	9806	0	3	600	0	24995867.29
200803_HL_9806_C3_Day0_750B	9806	0	3	600	0	24730620.5
200803_HL_9806_C3_Day0_750C	9806	0	3	600	0	24944462.88
200803_HL_9806_P1_Day0_0A	9806	1	1	600	0	365948.1083
200803_HL_9806_P1_Day0_0B	9806	1	1	600	0	245443.6333
200803_HL_9806_P1_Day0_0C	9806	1	1	600	0	244499.0667
200803_HL_9806_P1_Day0_500A	9806	1	1	600	0	4924758.15
200803_HL_9806_P1_Day0_500B	9806	1	1	600	0	4562973.325
200803_HL_9806_P1_Day0_500C	9806	1	1	600	0	4214543.225
200803_HL_9806_P1_Day0_750A	9806	1	1	600	0	6174287.4
200803_HL_9806_P1_Day0_750B	9806	1	1	600	0	5461871.875
200803_HL_9806_P1_Day0_750C	9806	1	1	600	0	5023609
200803_HL_MediaControl_0A	media_control	0	1	600	0	11922691.25
200803_HL_MediaControl_0B	media_control	0	1	600	0	11605846.35
200803_HL_MediaControl_0C	media_control	0	1	600	0	11759561.71
200803_HL_MediaControl_500A	media_control	0	1	600	0	19483127.75
200803_HL_MediaControl_500B	media_control	0	1	600	0	19199350.75
200803_HL_MediaControl_500C	media_control	0	1	600	0	19239931.17
200803_HL_MediaControl_750A	media_control	0	1	600	0	23841156.33
