	Sample_42895_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter
Aliterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Alkalinema	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anabaena	0	1086	0	1004	6	72787	7	69975	0	6538	0	6507	0	2508	0	2298	1	28684	1	28194	0	14917	1	14671	0	199786	0	196054	0	5827	0	5691	0	2349	0	2120	0	1738	0	1493	0	1717	0	1763	0	12398	0	12224	0	9329	0	9327	0	1818	0	1654	0	10385	2	10226
Aphanizomenon	0	0	0	0	104	0	116	0	0	0	2	0	3	0	6	0	44	0	42	0	14	0	10	0	60	0	59	0	10	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	103	0	99	0	40	0	49	0	6	0	0	0	110	0	98	0
Arthrospira	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus	0	291	0	283	0	589	0	542	0	303	0	268	0	27	0	24	0	321	0	274	0	27	0	43	0	136	0	145	0	161	0	155	0	339	0	298	0	416	0	341	0	364	0	340	0	190	0	236	0	1052	0	1076	0	129	0	143	0	109	0	110
Caenarcaniphilales	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calothrix	0	1287	0	1320	0	18474	0	17494	0	5762	0	5535	0	382	0	346	0	6134	0	5878	0	2228	0	2099	0	1593	0	1355	0	1377	0	1274	0	2372	0	2192	0	2066	0	1961	0	2335	0	2328	0	3359	0	3305	0	5064	0	5371	0	2261	0	2226	0	6474	0	6143
Chalicogloea	0	0	0	0	20	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
Chloroplast	1404	0	1450	0	856	0	843	0	3130	0	3202	0	138	0	150	0	2966	0	2875	0	91	0	107	0	1882	0	1846	0	1290	0	1199	0	3954	0	4117	0	1914	0	1906	0	1742	0	1664	0	281	0	246	0	6217	0	6249	0	554	0	469	0	267	0	292	0
Chondrocystis	0	525	0	497	0	10167	0	9874	0	2089	0	1927	0	95	0	94	0	1723	0	1631	0	732	0	659	0	196	0	198	0	379	0	382	0	277	0	260	0	499	0	367	0	501	0	415	0	994	0	949	0	864	0	706	0	818	0	749	0	2363	0	2332
Chroococcidiopsaceae	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chroococcidiopsis	0	615	0	593	0	4042	0	3955	0	721	0	683	0	38	0	30	0	727	0	688	0	121	0	118	0	377	0	355	0	231	0	227	0	717	0	619	0	837	0	711	0	684	0	671	0	325	0	289	0	2231	0	2202	0	301	0	282	0	224	0	252
Chroococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Coleofasciculaceae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crinalium	0	659	0	591	0	12492	0	11734	0	3206	0	3106	0	170	0	185	0	3254	0	3093	0	1128	0	1116	0	643	0	622	0	724	0	763	0	966	0	820	0	1280	0	1148	0	1320	0	1354	0	1810	0	1762	0	3058	0	3147	0	1345	0	1312	0	3852	0	3771
Cuspidothrix	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
Cyanobacterium	0	6	0	3	0	6507	0	6092	0	1870	0	1891	0	130	0	129	0	2031	0	2046	0	980	0	913	0	147	0	134	0	51	0	48	0	31	0	36	0	10	0	18	0	84	0	70	0	204	0	199	0	95	0	122	0	258	0	266	0	631	0	572
Cyanobiaceae	1	0	1	0	0	0	0	0	3	0	2	0	0	0	0	0	1	0	4	0	1	0	0	0	2	0	7	0	0	0	0	0	0	0	0	0	3	0	6	0	2	0	17	0	0	0	3	0	18	0	1	0	0	0	2	0	0	0	0	0
