	Sample_42895_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_42895_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_42896_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49615_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49622_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49625_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49629_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49633_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49636_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_49637_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53598_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53599_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53600_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53601_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53602_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_fwd_vs_16S.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_fwd_vs_mcy.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_rev_vs_16S.blastn.postblast.aln_len_filter	Sample_53603_adtrim_clean_qtrim_rev_vs_mcy.blastn.postblast.aln_len_filter
Aliterella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0
Alkalinema	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Anabaena	0	347	0	303	1	66228	2	63538	0	5148	0	5111	0	2403	0	2210	0	27067	0	26698	0	14501	0	14241	0	199058	0	195410	0	5344	0	5214	0	1224	0	1116	0	618	0	586	0	812	0	798	0	11590	0	11381	0	6509	0	6535	0	1273	0	1186	0	9216	1	9215
Aphanizomenon	0	0	0	0	83	0	93	0	0	0	2	0	2	0	6	0	38	0	35	0	12	0	8	0	60	0	59	0	9	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	88	0	39	0	47	0	4	0	0	0	85	0	90	0
Arthrospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus	0	90	0	93	0	282	0	275	0	45	0	48	0	14	0	10	0	69	0	49	0	16	0	20	0	29	0	26	0	55	0	56	0	37	0	33	0	78	0	73	0	75	0	69	0	113	0	132	0	118	0	113	0	33	0	24	0	44	0	56
Caenarcaniphilales	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calothrix	0	549	0	581	0	11298	0	10400	0	3988	0	3772	0	244	0	239	0	4091	0	3921	0	1604	0	1513	0	859	0	723	0	854	0	790	0	1226	0	1195	0	900	0	896	0	1174	0	1170	0	2121	0	2082	0	2019	0	2242	0	1369	0	1402	0	4340	0	3921
Chalicogloea	0	0	0	0	8	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Chloroplast	1404	0	1450	0	856	0	843	0	3130	0	3202	0	138	0	150	0	2966	0	2875	0	91	0	107	0	1882	0	1846	0	1290	0	1199	0	3954	0	4117	0	1914	0	1906	0	1742	0	1664	0	281	0	246	0	6217	0	6249	0	554	0	469	0	267	0	292	0
Chondrocystis	0	203	0	183	0	4957	0	4864	0	967	0	906	0	51	0	50	0	918	0	878	0	401	0	352	0	93	0	91	0	205	0	204	0	129	0	111	0	199	0	152	0	211	0	177	0	459	0	452	0	372	0	284	0	422	0	372	0	1175	0	1183
Chroococcidiopsaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chroococcidiopsis	0	148	0	160	0	1734	0	1572	0	200	0	167	0	10	0	11	0	158	0	153	0	39	0	38	0	64	0	63	0	52	0	57	0	88	0	77	0	135	0	140	0	118	0	119	0	80	0	56	0	335	0	324	0	51	0	46	0	58	0	56
Chroococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Coleofasciculaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crinalium	0	199	0	169	0	9438	0	8768	0	2330	0	2249	0	118	0	140	0	2321	0	2233	0	952	0	925	0	242	0	248	0	456	0	474	0	267	0	258	0	408	0	380	0	574	0	628	0	1414	0	1388	0	761	0	854	0	993	0	976	0	3268	0	3193
Cuspidothrix	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cyanobacteriaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Cyanobacterium	0	3	0	1	0	2901	0	2712	0	932	0	929	0	70	0	68	0	849	0	855	0	401	0	382	0	100	0	89	0	20	0	20	0	12	0	15	0	4	0	6	0	46	0	39	0	88	0	87	0	57	0	69	0	100	0	104	0	250	0	224
Cyanobiaceae	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	3	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0
