Date	Site	PartMC	PC	Chla	H2O2	H2O2_SE	qPCR_percent_toxic
8-Jul-14	WE12	0	0.12	6.976	40	29	nd
14-Jul-14	WE12	0	0.73	7.744	0	0	nd
21-Jul-14	WE12	6.14	5.59	18.62	184	1	84.9
29-Jul-14	WE12	6.928	27.74	33.152	400	130	60.3
4-Aug-14	WE12	9.276722694	45.43	54.464	190	30	nd
11-Aug-14	WE12	2.9	16.97	11.5765	170	7	nd
18-Aug-14	WE12	3.390091651	15.78	33.345	76	6	46.1
25-Aug-14	WE12	3.1	45.72	38.28	203	1	100.6
2-Sep-14	WE12	0.3	6.25	23.616	93	1	22.6
8-Sep-14	WE12	0.4	4.44	23.2	130	14	8.6
15-Sep-14	WE12	1.3	4.78	18.4925	50	11	3.1
23-Sep-14	WE12	0.9	17.55	16.965	110	5	1.8
29-Sep-14	WE12	0.6	21.87	22.25166667	165	2	nd
6-Oct-14	WE12	0	0.5	3.9711	40	12	4.1
15-Oct-14	WE12	0.304536439	0.39	4.1056	51	7	nd
20-Oct-14	WE12	0	0.54	5.0016	30	3	nd
8-Jul-14	WE2	0.29	1.18	6.848	62	3	nd
14-Jul-14	WE2	1.021	17.18	10.432	140	21	nd
21-Jul-14	WE2	4.944	5.13	16.26	144	4	29.1
29-Jul-14	WE2	3.984	8.81	10.016	590	4	28.3
4-Aug-14	WE2	4.330930157	39.01	29.44	139	1	nd
11-Aug-14	WE2	29.3	268.78	71.955	170	10	nd
18-Aug-14	WE2	4.712688369	23.89	39.39	60	4	69.6
25-Aug-14	WE2	2.7	18.81	27.104	92	6	nd
2-Sep-14	WE2	0.6	7.11	36.736	80	10	9.8
8-Sep-14	WE2	0.6	3.24	20.768	60	22	40.4
15-Sep-14	WE2	0.7	9.1	13.715	70	15	2.1
23-Sep-14	WE2	1.35	30.84	12.6425	55	1	1.4
29-Sep-14	WE2	4.2	205.5	66.625	260	51	nd
6-Oct-14	WE2	0	6.24	8.064	12	2	0
15-Oct-14	WE2	0.44837244	0.94	6.848	2	5	0
20-Oct-14	WE2	0	2.12	7.232	13	2	nd
8-Jul-14	WE4	0	0.6	3.5488	73	3	nd
14-Jul-14	WE4	0.166	0.71	3.9552	210	94	nd
21-Jul-14	WE4	1.823	6.14	5.95	108	2	72.2
29-Jul-14	WE4	1.012	4.77	6.122666667	180	110	42
4-Aug-14	WE4	1.542363877	15.38	18.112	151	6	nd
11-Aug-14	WE4	11.4	52.11	30.225	141	7	nd
18-Aug-14	WE4	0.213094157	1.08	5.863	80	4	40.4
25-Aug-14	WE4	0.1	1.37	3.5648	124	1	39.6
2-Sep-14	WE4	0.2	7.53	28.416	123	2	37.1
8-Sep-14	WE4	0.8	15.81	26.24	88	7	36.8
15-Sep-14	WE4	0.1	0.91	3.939	70	10	1.2
23-Sep-14	WE4	0.3	0.49	2.623833333	110	3	41
29-Sep-14	WE4	0.2	3.65	9.208333333	150	29	nd
6-Oct-14	WE4	0.1	0.36	1.1823	31	1	0
15-Oct-14	WE4	0.54082721	2.71	4.1536	49	5	0
20-Oct-14	WE4	0	0.23	1.392	40	3	nd
