Date	Injection	Std_addition_nM
200803	0	0
200803	500	467
200803	750	890
200805	0	0
200805	500	454
200805	750	827
200807	0	0
200807	500	455
200807	750	782
200809	0	0
200809	500	400
200809	750	513
200811	0	0
200811	500	665
200811	750	820
200813	0	0
200813	500	640
200813	750	1090
200815	0	0
200815	500	420
200815	750	800
200902	0	0
200902	500	398
200902	750	731
200904	0	0
200904	500	400
200904	750	749
200906	0	0
200906	500	498
200906	750	647
200908	0	0
200908	500	490
200908	750	760
200910	0	0
200910	500	580
200910	750	752
200912	0	0
200912	500	539
200912	750	707
