Centorid_representative_sequence	Cluster_Bin_ID	dRep_Genome_Rank	Bin_Taxonomy	NCBI_Taxonomy	KO	Final_Taxonomy
Ga0114337_100161918	Sample_49618_15.1.fa	Losing_Genome	Acetobacteraceae 49624 E11	NA	katG	Acetobacteraceae 49624 E11
Ga0114341_100156252	Sample_49624_11.fa	Winning_Genome	Acetobacteraceae 49624 E11	NA	ahpC	Acetobacteraceae 49624 E11
Ga0114347_10096121	Sample_49624_11.fa	Winning_Genome	Acetobacteraceae 49624 E11	NA	rpoB	Acetobacteraceae 49624 E11
Ga0114336_100150737	Sample_49628_41.fa	Winning_Genome	Acidibacter	NA	ahpC	Acidibacter
Ga0114351_100065519	Sample_49628_41.fa	Winning_Genome	Acidibacter	NA	rpoB	Acidibacter
Ga0114336_10008252	Sample_49628_41.fa	Winning_Genome	Acidibacter	NA	katG	Acidibacter
Ga0114336_100877912	Not Binned	NA	Unassigned	Acidimicrobiia bacterium BACL6	rpoB	Acidimicrobiia bacterium BACL6
Ga0114351_10271011	Not Binned	NA	Unassigned	Acidimicrobium	rpoB	Acidimicrobium
Ga0114341_100398171	Not Binned	NA	Unassigned	Acidimicrobium	rpoB	Acidimicrobium
Ga0114337_10145572	Not Binned	NA	Unassigned	Acidimicrobium	rpoB	Acidimicrobium
Ga0114336_10072414	Not Binned	NA	Unassigned	Acidimicrobium	rpoB	Acidimicrobium
Ga0226666_10103494	Not Binned	NA	Unassigned	Acidobacteriia 12-62-4	ahpC	Acidobacteriia 12-62-4
Ga0114359_10151842	Not Binned	NA	Unassigned	Acinetobacter	katE	Acinetobacter
Ga0114359_11075881	Not Binned	NA	Unassigned	Acinetobacter	ahpC	Acinetobacter
Ga0114359_10090882	Not Binned	NA	Unassigned	Acinetobacter	ahpC	Acinetobacter
Ga0114359_14537251	Not Binned	NA	Unassigned	Acinetobacter	ahpC	Acinetobacter
Ga0114359_10379952	Not Binned	NA	Unassigned	Acinetobacter	ahpC	Acinetobacter
Ga0114359_10151842	Not Binned	NA	Unassigned	Acinetobacter	katE	Acinetobacter
Ga0114337_10029349	Sample_49614_14.fa	Losing_Genome	Actinobacteria 49618 E28	NA	rpoB	Actinobacteria 49618 E28
Ga0114336_10056721	Not Binned	NA	Unassigned	Actinobacteria bacterium BACL2	rpoB	Actinobacteria bacterium BACL2
Ga0226814_1007004	Not Binned	NA	Unassigned	Actinobacteria bacterium BACL2	rpoB	Actinobacteria bacterium BACL2
Ga0114336_10140782	Not Binned	NA	Unassigned	Actinobacteria bacterium BACL4	rpoB	Actinobacteria bacterium BACL4
Ga0226810_10097311	Not Binned	NA	Unassigned	Actinobacteria bacterium BACL4	rpoB	Actinobacteria bacterium BACL4
Ga0114354_10030689	Not Binned	NA	Unassigned	Actinobacteria bacterium BACL4	rpoB	Actinobacteria bacterium BACL4
Ga0114344_10122451	Not Binned	NA	Unassigned	Actinobacteria bacterium BACL4	rpoB	Actinobacteria bacterium BACL4
Ga0226807_10123221	Not Binned	NA	Unassigned	Actinobacteria bacterium BACL4	rpoB	Actinobacteria bacterium BACL4
Ga0114354_10051785	Not Binned	NA	Unassigned	Actinobacteria bacterium IMCC19121	rpoB	Actinobacteria bacterium IMCC19121
Ga0226809_10036282	Not Binned	NA	Unassigned	Actinobacteria bacterium IMCC19121	rpoB	Actinobacteria bacterium IMCC19121
Ga0114344_10054932	Not Binned	NA	Unassigned	Actinobacteria bacterium IMCC25003	rpoB	Actinobacteria bacterium IMCC25003
Ga0114341_100106842	Not Binned	NA	Unassigned	Actinobacteria bacterium IMCC26077	rpoB	Actinobacteria bacterium IMCC26077
Ga0114347_10263871	Not Binned	NA	Unassigned	Actinobacterium	rpoB	Actinobacterium
Ga0114841_10023815	Not Binned	NA	Unassigned	Actinobacterium acAcidi	rpoB	Actinobacterium acAcidi
Ga0114351_10036739	Not Binned	NA	Unassigned	Actinobacterium acAcidi	rpoB	Actinobacterium acAcidi
Ga0114341_100161963	Not Binned	NA	Unassigned	Actinobacterium acAcidi	rpoB	Actinobacterium acAcidi
Ga0114337_100305216	Not Binned	NA	Unassigned	Actinobacterium acAMD-5	ahpC	Actinobacterium acAMD-5
Ga0114337_100073428	Not Binned	NA	Unassigned	Actinobacterium acAMD-5	rpoB	Actinobacterium acAMD-5
Ga0226807_12078821	Not Binned	NA	Unassigned	Actinobacterium SCGC AAA027-L06	ahpC	Actinobacterium SCGC AAA027-L06
Ga0114359_10308563	Not Binned	NA	Unassigned	Aeromonas	CCP	Aeromonas
Ga0114359_10077106	Not Binned	NA	Unassigned	Aeromonas	ahpC	Aeromonas
Ga0114359_10065552	Not Binned	NA	Unassigned	Aeromonas	ahpC	Aeromonas
Ga0226818_10063291	Not Binned	NA	Unassigned	Aeromonas	ahpC	Aeromonas
Ga0114359_10088161	Not Binned	NA	Unassigned	Aeromonas	rpoB	Aeromonas
Ga0114359_10451071	Not Binned	NA	Unassigned	Aeromonas	katG	Aeromonas
Ga0114341_1000253118	Sample_49621_10.fa	Winning_Genome	Algoriphagus	NA	CCP	Algoriphagus
Ga0114347_10114811	Sample_49628_51.fa	Winning_Genome	Algoriphagus	Algoriphagus	rpoB	Algoriphagus
Ga0114341_100359151	Not Binned	NA	Unassigned	Algoriphagus	rpoB	Algoriphagus
Ga0114337_10107211	Not Binned	NA	Unassigned	Algoriphagus	rpoB	Algoriphagus
Ga0114341_100301791	Not Binned	NA	Unassigned	Algoriphagus	rpoB	Algoriphagus
Ga0307119_121581901	Not Binned	NA	Unassigned	Alphaproteobacteria	CCP	Alphaproteobacteria
Ga0307119_101616534	Not Binned	NA	Unassigned	Alphaproteobacteria	ahpC	Alphaproteobacteria
Ga0114347_1000006210	Sample_49628_19.fa	Winning_Genome	Alphaproteobacteria 49628 E19	NA	rpoB	Alphaproteobacteria 49628 E19
Ga0307119_114702013	Bryobacter_all_coassembly_Metabat_Bin99.fa	Winning_Genome	Alphaproteobacteria CoA8 M99	NA	rpoB	Alphaproteobacteria CoA8 M99
Ga0226666_10024932	Bryobacter_all_normalized_coassembly_CONCOCT_Bin25.fa	Winning_Genome	Alphaproteobacteria CoA8N C25	NA	rpoB	Alphaproteobacteria CoA8N C25
Ga0071351_100095310	Sample_42896_12.fa	Losing_Genome	Anabaena	Aphanizomenon	ahpC	Anabaena / Dolichospermum
Ga0071351_10006238	Sample_42896_53600_coassembly_CONCOCT_Bin59.fa	Winning_Genome	Anabaena	Aphanizomenon	rpoB	Anabaena / Dolichospermum
Ga0114348_10361102	Sample_49628_55.fa	Winning_Genome	Anabaena	Anabaena	ahpC	Anabaena / Dolichospermum
Ga0114351_100100822	Sample_49628_55.fa	Winning_Genome	Anabaena	Anabaena	rpoB	Anabaena / Dolichospermum
Ga0114356_100026621	Sample_49633_8.fa	Winning_Genome	Anabaena	Anabaena	ahpC	Anabaena / Dolichospermum
Ga0114356_100002210	Sample_49633_8.fa	Winning_Genome	Anabaena	Anabaena	MnCat	Anabaena / Dolichospermum
Ga0114356_100001364	Sample_49633_8.fa	Winning_Genome	Anabaena	Nostocales	rpoB	Anabaena / Dolichospermum
Ga0226669_10173181	Not Binned	NA	Unassigned	Aphanizomenon	ahpC	Aphanizomenon
